Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
invitees ,tvui,search,,,2023-02-24 16:34:16
invitees ,tvui,movieDetails,,,2023-02-24 16:34:16
invitees ,tvui,playback,,,2023-02-24 16:34:13
invitees ,tvui,movieDetails,,,2023-02-24 16:34:13
invitees ,tvui,playback,,,2023-02-24 16:28:51
invitees ,tvui,movieDetails,,,2023-02-24 16:28:51
invitees ,tvui,search,,,2023-02-24 16:28:35
invitees ,tvui,movieDetails,,,2023-02-24 16:28:35
invitees ,tvui,search,,,2023-02-24 16:27:34
invitees ,tvui,movieDetails,,,2023-02-24 16:27:34
invitees ,tvui,movieDetails,,,2023-02-24 16:27:32
invitees ,tvui,playback,,,2023-02-24 16:27:32
invitees ,tvui,movieDetails,,,2023-02-24 16:26:46
invitees ,tvui,playback,,,2023-02-24 16:26:46
invitees ,tvui,searchSuggestionTitleResults,,,2023-02-24 16:26:28
invitees ,tvui,movieDetails,,,2023-02-24 16:26:28
invitees ,tvui,search,,,2023-02-24 16:25:21
invitees ,tvui,browseTitles,,,2023-02-24 16:25:21
invitees ,tvui,profilesGate,,,2023-02-24 16:25:09
invitees ,tvui,browseTitles,,,2023-02-24 16:25:09
invitees ,tvui,playback,,,2023-02-22 21:19:24
invitees ,tvui,postPlay,,,2023-02-22 21:19:24
invitees ,tvui,playback,,,2023-02-22 21:19:18
invitees ,tvui,postPlay,,,2023-02-22 21:19:18
invitees ,tvui,movieDetails,,,2023-02-22 20:35:33
invitees ,tvui,playback,,,2023-02-22 20:35:33
invitees ,tvui,browseTitles,,,2023-02-22 20:35:20
invitees ,tvui,movieDetails,,,2023-02-22 20:35:20
invitees ,tvui,browseTitles,,,2023-02-22 20:34:40
invitees ,tvui,profilesGate,,,2023-02-22 20:34:40
invitees ,tvui,postPlay,,,2023-02-19 21:54:06
invitees ,tvui,playback,,,2023-02-19 21:54:06
invitees ,tvui,playback,,,2023-02-19 21:54:00
invitees ,tvui,postPlay,,,2023-02-19 21:54:00
invitees ,tvui,playback,,,2023-02-19 21:04:32
invitees ,tvui,episodesSelector,,,2023-02-19 21:04:32
invitees ,tvui,episodesSelector,,,2023-02-19 21:04:19
invitees ,tvui,movieDetails,,,2023-02-19 21:04:19
invitees ,tvui,playback,,,2023-02-19 21:04:10
invitees ,tvui,movieDetails,,,2023-02-19 21:04:10
invitees ,tvui,movieDetails,,,2023-02-19 21:03:57
invitees ,tvui,playback,,,2023-02-19 21:03:57
