Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
invitees ,Demain,SFR STB7 Set Top Box,2023-02-24 16:28:36,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":2951,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":24967,""mediaOffsetMs"":22016},{""eventType"":""playing"",""sessionOffsetMs"":32967,""mediaOffsetMs"":30016},{""eventType"":""playing"",""sessionOffsetMs"":40967,""mediaOffsetMs"":38016},{""eventType"":""playing"",""sessionOffsetMs"":48967,""mediaOffsetMs"":46016},{""eventType"":""paused"",""sessionOffsetMs"":338427,""mediaOffsetMs"":334327},{""eventType"":""stopped"",""sessionOffsetMs"":343184,""mediaOffsetMs"":334327}]"
invitees ,"Down to Earth with Zac Efron: Season 2: Down Under: ""Habitat Conservation""",SFR STB7 Set Top Box,2023-02-24 16:26:30,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":4667,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":24699,""mediaOffsetMs"":20032},{""eventType"":""playing"",""sessionOffsetMs"":32699,""mediaOffsetMs"":28032},{""eventType"":""playing"",""sessionOffsetMs"":38715,""mediaOffsetMs"":34048},{""eventType"":""playing"",""sessionOffsetMs"":46715,""mediaOffsetMs"":42048},{""eventType"":""paused"",""sessionOffsetMs"":64565,""mediaOffsetMs"":59151},{""eventType"":""stopped"",""sessionOffsetMs"":68442,""mediaOffsetMs"":59151}]"
invitees ,Season 3 Trailer: Outer Banks,SFR STB7 Set Top Box,2023-02-24 16:24:58,FR,"[{""eventType"":""start"",""sessionOffsetMs"":11776,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":12546,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":22880,""mediaOffsetMs"":9668},{""eventType"":""stopped"",""sessionOffsetMs"":24793,""mediaOffsetMs"":10301}]"
invitees ,"You: Season 4: ""Eat the Rich""",Xiaomi aquaman Streaming Stick,2023-02-22 21:19:24,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":62000},{""eventType"":""playing"",""sessionOffsetMs"":2529,""mediaOffsetMs"":62000},{""eventType"":""playing"",""sessionOffsetMs"":15501,""mediaOffsetMs"":72030},{""eventType"":""playing"",""sessionOffsetMs"":30517,""mediaOffsetMs"":87045},{""eventType"":""stopped"",""sessionOffsetMs"":2041830,""mediaOffsetMs"":2098358}]"
invitees ,"You: Season 4: ""Portrait of the Artist""",Xiaomi aquaman Streaming Stick,2023-02-22 20:35:26,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":27125,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":37135,""mediaOffsetMs"":10010},{""eventType"":""playing"",""sessionOffsetMs"":45143,""mediaOffsetMs"":18018},{""eventType"":""playing"",""sessionOffsetMs"":50064,""mediaOffsetMs"":22939},{""eventType"":""playing"",""sessionOffsetMs"":36623,""mediaOffsetMs"":54095},{""eventType"":""playing"",""sessionOffsetMs"":37196,""mediaOffsetMs"":10010},{""eventType"":""paused"",""sessionOffsetMs"":40710,""mediaOffsetMs"":13059},{""eventType"":""reposition"",""sessionOffsetMs"":40710,""mediaOffsetMs"":62187},{""eventType"":""playing"",""sessionOffsetMs"":44718,""mediaOffsetMs"":62187},{""eventType"":""playing"",""sessionOffsetMs"":44792,""mediaOffsetMs"":62187},{""eventType"":""playing"",""sessionOffsetMs"":53834,""mediaOffsetMs"":71404},{""eventType"":""playing"",""sessionOffsetMs"":70473,""mediaOffsetMs"":88046},{""eventType"":""playing"",""sessionOffsetMs"":83474,""mediaOffsetMs"":101017},{""eventType"":""playing"",""sessionOffsetMs"":98334,""mediaOffsetMs"":115907},{""eventType"":""paused"",""sessionOffsetMs"":2646454,""mediaOffsetMs"":2663563},{""eventType"":""stopped"",""sessionOffsetMs"":2648218,""mediaOffsetMs"":2663894}]"
invitees ,Trailer: Inhuman Resources,Xiaomi aquaman Streaming Stick,2023-02-22 20:35:15,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":7766,""mediaOffsetMs"":0}]"
invitees ,GINNYANDGEORGIA_S1_CLIP_GENRE,Xiaomi aquaman Streaming Stick,2023-02-22 20:35:09,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":6188,""mediaOffsetMs"":0}]"
invitees ,Context Up Front Trailer: Your Place or Mine,Xiaomi aquaman Streaming Stick,2023-02-22 20:35:08,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":13099,""mediaOffsetMs"":0}]"
invitees ,Season 2 Supporting Character Clip: Braqueurs : La série,Xiaomi aquaman Streaming Stick,2023-02-22 20:34:39,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":18542,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":24281,""mediaOffsetMs"":169},{""eventType"":""stopped"",""sessionOffsetMs"":31568,""mediaOffsetMs"":169}]"
invitees ,"You: Season 4: ""Portrait of the Artist""",Xiaomi aquaman Streaming Stick,2023-02-19 21:54:06,FR,[]
invitees ,"You: Season 4: ""Joe Takes a Holiday""",Xiaomi aquaman Streaming Stick,2023-02-19 21:04:34,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":4510,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2973473,""mediaOffsetMs"":2968041},{""eventType"":""stopped"",""sessionOffsetMs"":2973964,""mediaOffsetMs"":2968790}]"
invitees ,"You: Season 1: ""Pilot""",Xiaomi aquaman Streaming Stick,2023-02-19 21:03:59,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":4106,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":14547,""mediaOffsetMs"":7592},{""eventType"":""stopped"",""sessionOffsetMs"":16315,""mediaOffsetMs"":9018}]"
invitees ,Season 4 Part 1 Trailer: You,Xiaomi aquaman Streaming Stick,2023-02-19 21:03:31,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3862,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":17440,""mediaOffsetMs"":13596},{""eventType"":""playing"",""sessionOffsetMs"":21565,""mediaOffsetMs"":17726},{""eventType"":""paused"",""sessionOffsetMs"":27764,""mediaOffsetMs"":23473},{""eventType"":""stopped"",""sessionOffsetMs"":29106,""mediaOffsetMs"":23821}]"
invitees ,El recluso: Season 1 (Trailer),Xiaomi aquaman Streaming Stick,2023-02-19 21:03:24,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":918},{""eventType"":""playing"",""sessionOffsetMs"":5113,""mediaOffsetMs"":918},{""eventType"":""paused"",""sessionOffsetMs"":7853,""mediaOffsetMs"":3330},{""eventType"":""stopped"",""sessionOffsetMs"":10232,""mediaOffsetMs"":3330}]"
invitees ,Season 4 Part 1 Trailer: You,Xiaomi aquaman Streaming Stick,2023-02-19 21:03:20,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":3638,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":3993,""mediaOffsetMs"":175},{""eventType"":""stopped"",""sessionOffsetMs"":6498,""mediaOffsetMs"":175}]"
invitees ,"You: Season 1: ""Pilot""",Xiaomi aquaman Streaming Stick,2023-02-19 21:01:38,FR,"[{""eventType"":""start"",""sessionOffsetMs"":0,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":5448,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":90672,""mediaOffsetMs"":77752},{""eventType"":""stopped"",""sessionOffsetMs"":93010,""mediaOffsetMs"":83520}]"
