Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Fabrice,NFCDSF-01-JZQ68W9GDL6Y1QNDFQYH2PPA0609GA,Safari MAC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000Z
Fabrice,NFCDSF-01-JZQ68WHJWTXVQNPEPU8KKRN5GFCKG4,Safari MAC (Cadmium),,,,,,,,,1970-01-01T00:00:00.000Z
Fabrice,NFCDFF-PH-JXPX1RL96JTUDHYNLCF1019QP3RU41,Netflix iPhone-Firefox iPhone,,,,,,,,,1970-01-01T00:00:00.000Z
Fabrice,NFAPPL-01-IPAD7=5-6F5B7E158C611A917BCB6AF398A9B8F63FA1FF5E40D0FE73886BBF575BAE6C48,Apple iPad 6th Gen 9.7 (Wi-Fi) iPad,2020-08-10T08:41:00.761Z,2022-11-02T18:02:21.460Z,2020-08-10T08:41:00.761Z,2022-11-02T18:02:21.460Z,2020-08-10T08:41:00.761Z,2022-11-02T18:02:21.460Z,2020-08-10T08:41:00.761Z,2022-11-02T18:02:21.460Z,1970-01-01T00:00:00.000Z
Fabrice,SSTV-KTS1-0000000000000002357505,Samsung 2017 Kant-S DTV Smart TV,2021-09-06T12:56:15.608Z,2023-01-29T14:57:30.881Z,2021-09-06T12:56:15.608Z,2023-01-29T14:57:30.881Z,2021-09-06T12:56:15.608Z,2023-01-29T14:57:30.881Z,2021-09-06T12:56:15.608Z,2023-01-29T14:57:30.881Z,1970-01-01T00:00:00.000Z
Fabrice,NFAPPL-02-IPHONE12=8-735580E1FB73FA31CD400C8F75F145E6EC947C4839BB25BB32DCFFB3F7631214,Apple iPhone SE Gen 2 iPhone,2021-03-12T18:08:38.327Z,2023-02-17T13:03:35.436Z,2021-03-12T18:08:38.327Z,2022-11-10T10:34:17.001Z,2021-03-12T18:08:38.327Z,2023-02-17T13:03:35.436Z,2021-03-12T18:08:38.327Z,2022-11-10T10:34:17.001Z,1970-01-01T00:00:00.000Z
Fabrice,SFRSTB701=0002778962,SFR STB7 Set Top Box,2022-10-04T17:24:46.236Z,2023-02-26T14:08:36.912Z,2022-10-04T17:27:08.289Z,2023-02-26T14:08:36.912Z,2022-10-04T17:24:46.236Z,2023-02-26T14:08:36.912Z,2022-10-04T17:27:08.289Z,2023-02-26T14:08:36.912Z,1970-01-01T00:00:00.000Z
Fabrice,NFCDCH-MC-HF5DHUQA24EP2GGJ0AU541H8D7VPN9,Netflix Chrome MAC (Cadmium) HTML 5,2022-07-08T12:55:36.356Z,2022-11-05T23:23:16.758Z,2022-07-08T12:55:36.356Z,2022-11-05T23:23:16.758Z,2022-07-08T12:55:36.356Z,2022-11-05T23:23:16.758Z,2022-07-08T12:55:36.356Z,2022-11-05T23:23:16.758Z,1970-01-01T00:00:00.000Z
Fabrice,SFRSTB701=0002367079,SFR STB7 Set Top Box,2021-04-12T19:36:06.199Z,2023-02-24T16:28:36.937Z,2021-04-12T19:36:06.199Z,2023-02-24T16:28:36.937Z,2021-04-12T19:36:06.199Z,2023-02-24T16:28:36.937Z,2021-04-12T19:36:06.199Z,2023-02-24T16:28:36.937Z,1970-01-01T00:00:00.000Z
Fabrice,NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,Xiaomi aquaman Streaming Stick,2021-07-28T19:35:51.103Z,2023-02-22T21:19:24.638Z,2021-07-28T19:36:39.184Z,2023-02-22T20:35:26.467Z,2021-07-28T19:35:51.103Z,2023-02-22T21:19:24.638Z,2021-07-28T19:36:39.184Z,2023-02-22T20:35:26.467Z,1970-01-01T00:00:00.000Z
Fabrice,LGTV20203=31013232327,LG DTV 2020 RTK K6Lp UHD TV Smart TV,2022-03-08T17:07:19.028Z,2023-01-04T11:10:15.275Z,2022-03-08T17:08:50.060Z,2023-01-04T11:10:15.275Z,2022-03-08T17:07:19.028Z,2023-01-04T11:10:15.275Z,2022-03-08T17:08:50.060Z,2023-01-04T11:10:15.275Z,1970-01-01T00:00:00.000Z
Fabrice,NFCDIE-03-JP1AMMQCUYE3LJYV485FG9TH0T0E4Q,Edge OSS - Windows (Cadmium),2022-11-01T05:14:18.624Z,2022-11-01T05:14:18.624Z,2022-11-01T05:14:18.624Z,2022-11-01T05:14:18.624Z,2022-11-01T05:14:18.624Z,2022-11-01T05:14:18.624Z,2022-11-01T05:14:18.624Z,2022-11-01T05:14:18.624Z,1970-01-01T00:00:00.000Z
Fabrice,NFCDSF-PH-JN47WC11G2E67DWHA099DU1H37PD11,Netflix iPhone-Safari iPhone,,,,,,,,,1970-01-01T00:00:00.000Z
Fabrice,NFANDROID1-PRV-P-XIAOMREDMI=NOTE=7-11053-0B0AB6DC976F2C53B294C5834FE6A28FE0E24D012265D0466D66669813065BC9C,DefaultWidevineAndroidPhone,2021-12-25T20:28:59.112Z,2022-09-01T22:25:57.662Z,2021-12-25T20:28:59.112Z,2022-09-01T22:25:57.662Z,2021-12-25T20:28:59.112Z,2022-09-01T22:25:57.662Z,2021-12-25T20:28:59.112Z,2022-09-01T22:25:57.662Z,1970-01-01T00:00:00.000Z
Fabrice,NFAPPL-01-IPAD13=8-6F5B7E158C611A917BCB6AF398A9B8F63FA1FF5E40D0FE73886BBF575BAE6C48,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,2021-10-31T11:19:25.960Z,2023-02-20T19:29:52.545Z,2021-10-31T11:19:25.960Z,2023-02-20T19:29:52.545Z,2021-10-31T11:19:25.960Z,2023-02-20T19:29:52.545Z,2021-10-31T11:19:25.960Z,2023-02-20T19:29:52.545Z,1970-01-01T00:00:00.000Z
Fabrice,NFAPPL-02-IPHONE11=6-6A823A67967B9CA4A4DAD4225B877A05F83A5B2AD42BCFFA98F26DC38EFB8C1D,Apple iPhone XS Max (CDMA),2022-08-08T09:57:56.988Z,2023-02-25T16:27:51.656Z,2022-08-08T09:58:21.156Z,2023-02-17T11:13:17.492Z,2022-08-08T09:57:56.988Z,2023-02-25T16:27:51.656Z,2022-08-08T09:58:21.156Z,2023-02-17T11:13:17.492Z,1970-01-01T00:00:00.000Z
Fabrice,SGMM38YIP=000000001376452,Sagemcom SFR m384nc Set Top Box,2022-08-05T15:32:07.976Z,2022-09-29T13:54:42.592Z,2022-08-06T07:15:43.639Z,2022-09-29T13:54:42.592Z,2022-08-05T15:32:07.976Z,2022-09-29T13:54:42.592Z,2022-08-06T07:15:43.639Z,2022-09-29T13:54:42.592Z,1970-01-01T00:00:00.000Z
Fabrice,SSTV-NVT2-0000000000000003627535,Samsung 2014 Novatek UHD TV,2018-05-01T16:15:14.606Z,2022-11-07T19:10:01.120Z,2021-02-27T07:28:47.756Z,2022-11-07T19:10:01.120Z,2018-05-01T16:15:14.606Z,2022-11-07T19:10:01.120Z,2021-02-27T07:28:47.756Z,2022-11-07T19:10:01.120Z,1970-01-01T00:00:00.000Z
Fabrice,NFCDFF-MC-EGH7376E1D9DP29V1D1L1G9RQPT9XA,Netflix Firefox MAC (Cadmium) HTML 5,2018-12-30T17:30:20.865Z,2022-11-09T16:11:32.044Z,2022-06-20T09:29:26.743Z,2022-11-09T16:11:32.044Z,2018-12-30T17:30:20.865Z,2022-11-09T16:11:32.044Z,2022-06-20T09:29:26.743Z,2022-11-09T16:11:32.044Z,1970-01-01T00:00:00.000Z
Fabrice,NFCDFF-MC-JC0FKC63NHEH7WD0R4XU2GNGQKAKXP,Netflix Firefox MAC (Cadmium) HTML 5,,,,,,,,,1970-01-01T00:00:00.000Z
Fabrice,NFCDIE-03-HD1AV52MY1P8MK3GVP3X0AAEJKLYFK,Edge OSS - Windows (Cadmium),2021-06-15T11:29:44.868Z,2022-06-16T10:56:33.255Z,2021-06-15T11:29:44.868Z,2022-06-13T12:37:53.302Z,2021-06-15T11:29:44.868Z,2022-06-16T10:56:33.255Z,2021-06-15T11:29:44.868Z,2022-06-13T12:37:53.302Z,1970-01-01T00:00:00.000Z
Fabrice,NFAPPL-01-IPAD5=3-A90DAD9F9C864F2A9B798D689F10BFA801E022D2D1D1D7832CA6877BFFCBCE59,iPad Air 2 WiFi,2021-07-18T14:38:05.696Z,2022-11-14T21:49:21.652Z,2021-07-18T14:38:05.696Z,2022-11-14T21:49:21.652Z,2021-07-18T14:38:05.696Z,2022-11-14T21:49:21.652Z,2021-07-18T14:38:05.696Z,2022-11-14T21:49:21.652Z,1970-01-01T00:00:00.000Z
