Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFCDSF-01-H1JYR9U4X0PRJE8CLDA08Q91G74L1K,AR,Safari MAC (Cadmium),Safari MAC (Cadmium),200.123.38.100,Santa Fe,2023-02-26T14:00:46.055Z
SFRSTB701=0002778962,FR,SFR STB7 Set Top Box,SFR STB7 Set Top Box,2a02:8428:e40a:ea84:ce2d:1bff:fe48:d68,Auvergne-Rhône-Alpes,2023-02-26T13:31:32.563Z
NFAPPL-02-IPHONE11=6-6A823A67967B9CA4A4DAD4225B877A05F83A5B2AD42BCFFA98F26DC38EFB8C1D,FR,Apple iPhone XS Max (CDMA),Apple iPhone XS Max (CDMA),2a02:8440:5414:3451:dc65:7bf4:4c87:b8c8,Auvergne-Rhône-Alpes,2023-02-25T16:20:27.449Z
NFCDSF-01-H1JYR9U4X0PRJE8CLDA08Q91G74L1K,AR,Safari MAC (Cadmium),Safari MAC (Cadmium),200.123.38.100,Santa Fe,2023-02-25T14:14:33.301Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,200.123.38.100,Santa Fe,2023-02-25T13:07:28.742Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,200.123.38.100,Santa Fe,2023-02-24T22:37:09.199Z
SFRSTB701=0002367079,FR,SFR STB7 Set Top Box,SFR STB7 Set Top Box,2a02:842a:6e:6984:6235:c0ff:fe8a:3708,Nouvelle-Aquitaine,2023-02-24T16:25:00.157Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,170.51.165.202,Misiones,2023-02-24T15:07:15.832Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,170.51.165.202,Misiones,2023-02-23T15:36:38.410Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,200.123.38.115,Santa Fe,2023-02-23T01:47:56.857Z
NFCDSF-01-H1JYR9U4X0PRJE8CLDA08Q91G74L1K,AR,Safari MAC (Cadmium),Safari MAC (Cadmium),200.123.38.115,Santa Fe,2023-02-22T21:26:56.010Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:6c23:b554:d40:a323,Nouvelle-Aquitaine,2023-02-22T21:19:26.029Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-22T20:34:45.818Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,186.12.100.104,Santa Fe,2023-02-22T16:10:39.426Z
NFAPPL-02-IPHONE11=6-6A823A67967B9CA4A4DAD4225B877A05F83A5B2AD42BCFFA98F26DC38EFB8C1D,FR,Apple iPhone XS Max (CDMA),Apple iPhone XS Max (CDMA),2a02:8440:5319:c9e6:ed26:8d68:504d:5c05,Auvergne-Rhône-Alpes,2023-02-22T09:31:54.145Z
NFCDCH-MC-J7MZ2QPPR3CJK7XJ8GV3QRM09VCW25,BR,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,2804:1b3:8101:3046:746a:db8a:cead:7af6,São Paulo,2023-02-21T05:42:34.417Z
NFAPPL-01-IPAD13=8-6F5B7E158C611A917BCB6AF398A9B8F63FA1FF5E40D0FE73886BBF575BAE6C48,FR,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,2a02:8440:4540:a3e1:bd0d:b8e8:65d3:9106,Île-de-France²,2023-02-20T19:13:38.211Z
NFAPPL-02-IPHONE11=8-CD0F5E9F3DC3E71C9161AA8AE9D366D38152A5B3DC6DF10292A10F2AEBBB496E,AR,Apple iPhone XR,Apple iPhone XR,200.123.38.115,Santa Fe,2023-02-20T11:23:05.166Z
NFAPPL-01-IPAD13=8-6F5B7E158C611A917BCB6AF398A9B8F63FA1FF5E40D0FE73886BBF575BAE6C48,FR,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,2a02:8440:4541:466f:91c6:ef7:f0a4:54b3,Île-de-France²,2023-02-20T07:19:54.357Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-19T21:54:07.920Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:c139:5190:5894:3efb,Nouvelle-Aquitaine,2023-02-19T20:55:28.520Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-19T19:35:24.605Z
NFAPPL-01-IPAD13=8-6F5B7E158C611A917BCB6AF398A9B8F63FA1FF5E40D0FE73886BBF575BAE6C48,FR,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,93.23.250.15,Provence-Alpes-Côte-d’Azur,2023-02-19T16:51:59.039Z
NFCDCH-MC-J7MZ2QPPR3CJK7XJ8GV3QRM09VCW25,BR,Netflix Chrome MAC (Cadmium) HTML 5,Netflix Chrome MAC (Cadmium) HTML 5,2804:1b3:8101:3046:107d:6b7e:5362:4c23,São Paulo,2023-02-19T03:57:21.263Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,2a01:cb19:a73:9100:4958:6722:2df:fb78,Nouvelle-Aquitaine,2023-02-18T22:28:35.669Z
NFANDROID2-PRV-AQUAMAN-XIAOMMITV-AESP0-16688-4D91AB8BA6A3CC0A7C9BA4BD642D92633729773148F32308FF4970286179211F,FR,Xiaomi aquaman Streaming Stick,Xiaomi aquaman Streaming Stick,86.204.185.44,Grand-Est,2023-02-18T20:59:30.907Z
NFAPPL-02-IPHONE11=8-68D8EFD70E4F2BDDBC4373758DC3A1D2F32BF0A5AD54274B6F57E764BD22D3A1,FR,Apple iPhone XR,Apple iPhone XR,2a02:8440:4501:2919:7cdf:5919:7fb0:9ae,Provence-Alpes-Côte-d’Azur,2023-02-18T12:04:38.556Z
