Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2023-02-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
2023-02-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2023-02-17,2023-02-17,2023-03-16,SUBSCRIPTION,VISA,1703,,BNP,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2023-03-17
2023-02-17,2023-02-17,2023-03-16,SUBSCRIPTION,VISA,1703,,BNP,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2023-03-17
2023-01-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2023-01-17,2023-01-17,2023-02-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2023-02-17
2023-01-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
2023-01-17,2023-01-17,2023-02-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2023-02-17
2022-12-17,2022-12-17,2023-01-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2023-01-17
2022-12-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
2022-12-17,2022-12-17,2023-01-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2023-01-17
2022-12-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2022-11-17,2022-11-17,2022-12-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2022-12-17
2022-11-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
2022-11-17,2022-11-17,2022-12-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2022-12-17
2022-11-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2022-10-17,2022-10-17,2022-11-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2022-11-17
2022-10-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2022-10-17,2022-10-17,2022-11-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2022-11-17
2022-10-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
2022-09-17,2022-09-17,2022-10-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2022-10-17
2022-09-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2022-09-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
2022-09-17,2022-09-17,2022-10-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2022-10-17
2022-08-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
2022-08-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2022-08-17,2022-08-17,2022-09-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2022-09-17
2022-08-17,2022-08-17,2022-09-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2022-09-17
2022-07-17,2022-07-17,2022-08-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2022-08-17
2022-07-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2022-07-17,2022-07-17,2022-08-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2022-08-17
2022-07-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
2022-06-17,2022-06-17,2022-07-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2022-07-17
2022-06-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
2022-06-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2022-06-17,2022-06-17,2022-07-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2022-07-17
2022-05-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
2022-05-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2022-05-17,2022-05-17,2022-06-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2022-06-17
2022-05-17,2022-05-17,2022-06-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2022-06-17
2022-04-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2022-04-17,2022-04-17,2022-05-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2022-05-17
2022-04-17,2022-04-17,2022-05-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2022-05-17
2022-04-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
2022-03-17,2022-03-17,2022-04-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2022-04-17
2022-03-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2022-03-17,2022-03-17,2022-04-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2022-04-17
2022-03-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
2022-02-17,2022-02-17,2022-03-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2022-03-17
2022-02-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2022-02-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
2022-02-17,2022-02-17,2022-03-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2022-03-17
2022-01-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
2022-01-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2022-01-17,2022-01-17,2022-02-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2022-02-17
2022-01-17,2022-01-17,2022-02-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2022-02-17
2021-12-17,2021-12-17,2022-01-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,NEW,SETTLED,FR,2022-01-17
2021-12-17,2021-12-17,2022-01-16,SUBSCRIPTION,VISA,1703,,ADYEN,17.99,EUR,3.0,17.99,SALE,APPROVED,SETTLED,FR,2022-01-17
2021-12-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,APPROVED,,FR,
2021-12-17,,,payment_transaction,CC,1703,,,,EUR,,17.99,SALE,NEW,,FR,
